,question,answer,img_id,type
85,màu của chiếc xe là gì,màu trắng,274022,2
86,màu của con ngựa là gì,màu nâu,373830,2
87,màu của chiếc bình là gì,màu xanh dương,521657,2
88,màu của băng ghế là gì,màu đỏ,135459,2
89,màu của ghế là gì,màu nâu,416440,2
90,màu của nhà vệ sinh là gì,màu trắng,274356,2
91,màu sắc của cái dù là gì,màu đỏ,239828,2
92,màu sắc của các dấu hiệu là gì,màu xanh lá,228727,2
93,màu của sàn là gì,màu nâu,267552,2
94,màu của cây là gì,màu cam,76187,2
95,màu của cổng là gì,màu vàng,175270,2
96,màu của xe máy là gì,màu xanh lá,454745,2
97,màu sắc của bông hoa là gì,màu vàng,580790,2
98,màu của xe là gì,màu đỏ,517958,2
99,màu của xe đạp là gì,màu xanh lá,414647,2
100,màu của tường là gì,màu đen,494383,2
101,màu của chiếc ô là gì,màu xanh dương,480876,2
102,màu của chăn là gì,màu cam,24253,2
103,màu của thứ đang ngủ là gì,màu cam,534959,2
104,màu của cái tủ là gì,màu trắng,564451,2
105,màu tóc là gì,màu đỏ,133937,2
106,màu của chiếc thuyền là gì,màu vàng,400275,2
107,màu của tòa án là gì,màu tía,114474,2
108,màu của len là gì,màu nâu,241461,2
109,màu của cỏ là gì,màu xanh lá,447108,2
110,màu của bầu trời là gì,màu xanh dương,433968,2
111,màu của băng ghế là gì,màu xanh dương,517931,2
112,màu của áo là gì,màu xanh lá,292312,2
113,màu của chiếc tàu là gì,màu cam,556647,2
114,màu của gấu bông là gì,màu xám,521806,2
115,màu của nhà vệ sinh là gì,màu vàng,86908,2
116,màu của sàn là gì,màu xám,134902,2
117,màu của áo là gì,màu đen,469035,2
118,màu sắc của hành khách là gì,màu vàng,385305,2
119,màu của ván lướt là gì,màu xanh dương,434004,2
120,màu của tháp là gì,màu đỏ,177922,2
121,màu của áo là gì,màu xanh dương,504917,2
122,màu của động cơ là gì,màu đen,318164,2
123,màu của chiếc mũ là gì,màu nâu,458935,2
124,màu sắc của bông hoa là gì,màu vàng,518883,2
125,màu của điểm đánh dấu là gì,màu cam,274759,2
126,màu của xe buýt / thuyền là gì,màu vàng,54869,2
127,màu mắt là gì,màu xanh lá,542165,2
128,màu của lá là gì,màu nâu,139105,2
129,màu của con ngựa là gì,màu nâu,378491,2
130,màu của dấu chấm là gì,màu xanh dương,427732,2
131,màu của xe cảnh sát là gì,màu xanh dương,359131,2
132,màu sắc của chiếc váy là gì,màu tía,243657,2
133,màu của xe buýt là gì,màu tía,546078,2
134,màu của bầu trời là gì,màu xanh dương,471256,2
135,màu của ba lô là gì,màu xanh lá,102987,2
136,màu của con ngựa là gì,màu nâu,292030,2
137,màu của ngôi nhà là gì,màu vàng,332352,2
138,màu sắc của trang phục là gì,màu xanh dương,211678,2
139,màu sắc của người đi làm là gì,màu vàng,361417,2
140,màu của nhà vệ sinh là gì,màu trắng,324443,2
141,màu của hoa tulip là gì,màu vàng,501323,2
142,màu của lá là gì,màu xanh lá,300441,2
143,màu sắc của giày là gì,màu tía,474356,2
144,màu của xe máy là gì,màu đen,473014,2
145,màu sắc của đi bộ là gì,màu nâu,177749,2
146,màu của lá là gì,màu xanh lá,91869,2
147,màu của bồn là gì,màu xanh dương,51583,2
148,màu của sàn là gì,màu xám,207686,2
149,màu của cây là gì,màu xanh lá,62301,2
150,màu của chiếc đĩa là gì,màu trắng,426429,2
151,màu của bầu trời là gì,màu xám,255176,2
152,màu của phòng tắm là gì,màu trắng,281713,2
153,màu trang điểm là gì,màu xám,377868,2
154,màu của áo là gì,màu trắng,271789,2
155,màu sắc của đồng phục là gì,màu trắng,216226,2
156,màu của mèo con là gì,màu cam,454996,2
157,màu của cà vạt là gì,màu tía,108407,2
158,màu của áo choàng là gì,màu đỏ,80084,2
159,màu của lá là gì,màu xanh lá,31540,2
160,màu của áo là gì,màu xanh dương,72266,2
161,màu của tháp là gì,màu trắng,77563,2
162,màu sắc của bông hoa là gì,màu vàng,116270,2
163,màu của con mèo là gì,màu xám,254670,2
164,màu của bồn tắm là gì,màu trắng,478505,2
165,màu của xe buýt là gì,màu xanh lá,387401,2
166,màu của con bò là gì,màu đen,425292,2
167,màu của tấm thảm là gì,màu đỏ,327726,2
168,màu của chiếc ô là gì,màu vàng,262012,2
169,màu của bàn phím là gì,màu đen,142534,2
170,màu của con ngựa là gì,màu nâu,260276,2
171,màu của lò nướng là gì,màu trắng,577623,2
172,màu của con mèo là gì,màu đen,318328,2
173,màu của máy bay là gì,màu trắng,297843,2
174,màu của chuối là gì,màu xanh lá,74901,2
175,màu của đậu là gì,màu xanh lá,157926,2
176,màu của xe buýt là gì,màu vàng,289352,2
177,màu của chiếc bình là gì,màu trắng,59997,2
178,màu của áo là gì,màu xanh dương,458960,2
179,màu của tường là gì,màu trắng,357272,2
180,màu của con mèo là gì,màu xám,453472,2
181,màu của bề mặt là gì,màu trắng,105580,2
182,màu sắc của giày là gì,màu nâu,79613,2
183,màu sắc của bông hoa là gì,màu trắng,234452,2
184,màu của con mèo là gì,màu cam,465495,2
185,màu của vòi nước là gì,màu trắng,304065,2
186,màu của xe tải là gì,màu đỏ,121235,2
187,màu của áo khoác nỉ là gì,màu nâu,541050,2
188,màu của con chó là gì,màu trắng,377983,2
189,màu của mèo con là gì,màu xám,88608,2
190,màu của mặt phẳng là gì,màu trắng,195812,2
191,màu của xe buýt là gì,màu xanh dương,257044,2
192,màu của gấu là gì,màu đen,307016,2
193,màu của gấu là gì,màu đen,29182,2
194,màu sắc của đội là gì,màu xanh lá,364885,2
195,màu của chiếc đĩa là gì,màu xanh dương,183171,2
196,màu của vòi nước là gì,màu đỏ,345914,2
197,màu của cà vạt là gì,màu xanh lá,445774,2
198,màu của xe máy là gì,màu cam,242472,2
199,màu của áo là gì,màu cam,289915,2
200,màu của con mèo là gì,màu trắng,87629,2
201,màu của vùng nước là gì,màu xanh dương,9771,2
202,màu của sân là gì,màu xanh lá,243500,2
203,màu sắc của trang phục là gì,màu xanh lá,279457,2
204,màu sắc của các bộ truyền phát là gì,màu xanh dương,142187,2
205,màu sắc của bông hoa là gì,màu tía,222056,2
206,màu của con mèo là gì,màu đen,178692,2
207,màu của chiếc ô là gì,màu vàng,569347,2
208,màu của cát là gì,màu đỏ,391046,2
209,màu của kính là gì,màu đỏ,37165,2
210,màu của rủ là gì,màu đỏ,35033,2
211,màu của đậu là gì,màu xanh lá,160615,2
212,màu của dĩa nhựa là gì,màu xanh dương,26780,2
213,màu sắc của các dấu hiệu là gì,màu xanh lá,290511,2
214,màu của tường là gì,màu vàng,147290,2
215,màu của gấu là gì,màu đen,4705,2
216,màu của ánh sáng là gì,màu xanh lá,411792,2
217,màu của gấu bông là gì,màu nâu,498165,2
218,màu của con mèo là gì,màu xám,545804,2
219,màu của dĩa nhựa là gì,màu nâu,67230,2
220,màu của chiếc ô là gì,màu vàng,262012,2
221,màu của khay là gì,màu trắng,274170,2
222,màu của gối là gì,màu đỏ,35573,2
223,màu của bảng là gì,màu cam,6715,2
224,màu của cỏ là gì,màu xanh lá,412687,2
225,màu của dấu hiệu là gì,màu vàng,211051,2
226,màu của thứ bên trong là gì,màu xám,118480,2
227,màu sắc của các dấu hiệu là gì,màu nâu,229821,2
228,màu sắc của chiếc váy là gì,màu đen,32544,2
229,màu của cốc là gì,màu xanh dương,265036,2
230,màu của cỏ là gì,màu xanh lá,401235,2
231,màu của xe buýt là gì,màu đỏ,354282,2
232,màu của chiếc thuyền là gì,màu vàng,400275,2
233,màu của con mèo là gì,màu xám,429460,2
234,màu của xe buýt là gì,màu đỏ,52693,2
235,màu sắc của bông hoa là gì,màu tía,16890,2
236,màu của chiếc nắp là gì,màu tía,129771,2
237,màu của áo khoác là gì,màu xanh dương,280484,2
238,màu của chuối là gì,màu xanh lá,107836,2
239,màu của xe tải lớn là gì,màu tía,174892,2
240,màu của ô tô là gì,màu vàng,467311,2
241,màu sắc của cái đó là gì,màu đỏ,169499,2
242,màu của ghế là gì,màu nâu,520091,2
243,màu của gấu là gì,màu trắng,282419,2
244,màu của dĩa nhựa là gì,màu xanh lá,368435,2
245,màu của chiếc mũ là gì,màu đen,458960,2
246,màu của hỗn hợp là gì,màu xanh lá,279503,2
247,màu của bầu trời là gì,màu xanh dương,90820,2
248,màu của cái bát là gì,màu trắng,360020,2
249,màu của chiếc tàu là gì,màu cam,171430,2
250,màu của trải giường là gì,màu trắng,381047,2
251,màu của lá là gì,màu xanh lá,72905,2
252,màu của chăn là gì,màu xanh dương,214478,2
253,màu của xe buýt là gì,màu đỏ,326583,2
254,màu của xe máy là gì,màu đỏ,449889,2
255,màu của món ăn là gì,màu trắng,271890,2
256,màu của đồng cỏ là gì,màu xanh lá,395050,2
257,màu của con chim là gì,màu xám,360975,2
258,màu của bảng là gì,màu đen,499801,2
259,màu của các phương tiện  là gì,màu vàng,372740,2
260,màu sắc của các chữ cái là gì,màu xanh dương,299488,2
261,màu của đối tượng là gì,màu xanh dương,551285,2
262,màu của điểm dừng là gì,màu đỏ,433225,2
263,màu của túi là gì,màu đen,110250,2
264,màu của gấu là gì,màu nâu,149835,2
265,màu sắc của quần vợt là gì,màu xám,256855,2
266,màu của con mèo là gì,màu trắng,109148,2
267,màu của gấu là gì,màu nâu,84165,2
268,màu của bồn tắm là gì,màu trắng,361811,2
269,màu của lá là gì,màu xanh lá,472913,2
270,màu của bầu trời là gì,màu xanh dương,47692,2
271,màu của chiếc đĩa là gì,màu cam,123764,2
272,màu của chiếc tàu là gì,màu đỏ,462292,2
273,màu của xe máy là gì,màu đỏ,496274,2
274,màu của ghế là gì,màu vàng,285022,2
275,màu của xe tải là gì,màu đỏ,203440,2
276,màu của cà vạt là gì,màu đỏ,557698,2
277,màu của chiếc tàu là gì,màu đỏ,48141,2
278,màu của chiếc tàu là gì,màu xanh lá,324870,2
279,màu của xe máy là gì,màu đỏ,5256,2
280,màu của tòa nhà là gì,màu trắng,371791,2
281,màu của tường là gì,màu tía,39913,2
282,màu sắc của bông hoa là gì,màu tía,233677,2
283,màu của bụi cây là gì,màu xanh lá,556088,2
284,màu của bảng là gì,màu đen,170990,2
285,màu của túi là gì,màu đỏ,308119,2
286,màu của tấm thảm là gì,màu đỏ,552819,2
287,màu của con chim là gì,màu đỏ,361773,2
288,màu của gấu là gì,màu nâu,314949,2
289,màu của bông hoa là gì,màu trắng,239052,2
290,màu của điện thoại là gì,màu đỏ,154916,2
291,màu của con ngựa là gì,màu nâu,242544,2
292,màu của xe là gì,màu cam,409732,2
293,màu của tòa nhà là gì,màu xám,83986,2
294,màu của gấu là gì,màu đen,270558,2
295,màu của lửa là gì,màu xanh lá,223870,2
296,màu của nón là gì,màu cam,160229,2
297,màu của lá là gì,màu xanh lá,385749,2
298,màu sắc của các mẫu là gì,màu đen,104718,2
299,màu của bếp là gì,màu trắng,395627,2
300,màu của áo là gì,màu xanh dương,525218,2
301,màu của xe tải là gì,màu vàng,13274,2
302,màu của máy kéo là gì,màu đỏ,345167,2
303,màu của xe buýt là gì,màu vàng,183123,2
304,màu của con chó là gì,màu xám,117722,2
305,màu của con mèo là gì,màu xám,308812,2
306,màu của ghế là gì,màu nâu,158428,2
307,màu của lá là gì,màu xanh lá,385146,2
308,màu của cỏ là gì,màu xanh lá,8595,2
309,màu sắc của xe máy là gì,màu đỏ,540495,2
310,màu của lửa là gì,màu đỏ,254714,2
311,màu của áo là gì,màu đen,220463,2
312,màu của con bò là gì,màu nâu,109654,2
313,màu sắc của áo choàng là gì,màu xám,470871,2
314,màu của gấu là gì,màu đen,213141,2
315,màu của móng tay là gì,màu vàng,294214,2
316,màu của chiếc tàu là gì,màu đỏ,392869,2
317,màu sắc của bông cải xanh là gì,màu xanh lá,408048,2
318,màu của quần là gì,màu nâu,110761,2
319,màu của nước ép là gì,màu cam,41818,2
320,màu của con mèo là gì,màu cam,412781,2
321,màu của túi là gì,màu nâu,101245,2
322,màu của xe buýt là gì,màu đỏ,114204,2
323,màu của xe tải là gì,màu xám,461917,2
324,màu của con mèo là gì,màu đen,88082,2
325,màu của gấu là gì,màu đen,131731,2
326,màu của nhà vệ sinh là gì,màu nâu,250720,2
327,màu của xe buýt là gì,màu đỏ,258642,2
328,màu của con mèo là gì,màu đen,575902,2
329,màu của gấu là gì,màu nâu,41938,2
330,màu của chiếc mũ là gì,màu đỏ,410561,2
331,màu của chiếc tàu là gì,màu vàng,163302,2
332,màu sắc của đội là gì,màu vàng,364885,2
333,màu của tường là gì,màu tía,426143,2
334,màu của áo là gì,màu trắng,10230,2
335,màu của xe là gì,màu xanh dương,420200,2
336,màu sắc của áo khoác là gì,màu đen,465229,2
337,màu của chiếc bình là gì,màu xanh lá,528127,2
338,màu của con mèo là gì,màu cam,1323,2
339,màu của con ngựa là gì,màu nâu,147735,2
340,màu của con mèo là gì,màu cam,150746,2
341,màu của gấu là gì,màu tía,368811,2
342,màu sắc của người đàn ông là gì,màu đen,152746,2
343,màu của dĩa nhựa là gì,màu vàng,226294,2
344,màu của con mèo là gì,màu xám,388312,2
345,màu của lửa là gì,màu đỏ,501002,2
346,màu của xe chervolet là gì,màu đỏ,101476,2
347,màu của xe đạp là gì,màu xanh lá,194643,2
348,màu của chiếc giường là gì,màu trắng,549413,2
349,màu của lá là gì,màu xanh lá,332723,2
350,màu sắc của bông hoa là gì,màu tía,536008,2
351,màu của con chim là gì,màu xanh dương,567957,2
352,màu của máy tính xách tay là gì,màu xám,541994,2
353,màu của vòi nước là gì,màu đỏ,460290,2
354,màu của con mèo là gì,màu đen,566016,2
355,màu của gạo là gì,màu trắng,483837,2
356,màu của chiếc mũ là gì,màu tía,183071,2
357,màu của hàng rào là gì,màu trắng,313983,2
358,màu của xe buýt là gì,màu cam,580549,2
359,màu sắc của uống là gì,màu tía,556306,2
360,màu sắc của bông hoa là gì,màu tía,156326,2
361,màu của cạnh là gì,màu xanh lá,267454,2
362,màu của xe buýt là gì,màu vàng,472089,2
363,màu của chiếc cặp là gì,màu vàng,260167,2
364,màu của chiếc bình là gì,màu tía,473018,2
365,màu của tường là gì,màu xám,127921,2
366,màu của gấu là gì,màu nâu,500130,2
367,màu sắc của biển là gì,màu xanh dương,426470,2
368,màu sắc của sinh tố là gì,màu xanh lá,139748,2
369,màu của cây là gì,màu cam,290285,2
370,màu của ghế sofa là gì,màu nâu,219413,2
371,màu của gấu là gì,màu đen,337962,2
372,màu của vòi nước là gì,màu đỏ,143339,2
373,màu của cỏ là gì,màu xám,147276,2
374,màu của chiếc tàu là gì,màu đen,411849,2
375,màu của bầu trời là gì,màu xám,364303,2
376,màu của thiết bị là gì,màu vàng,23203,2
377,màu sắc của các sĩ quan là gì,màu vàng,408799,2
378,màu của bếp là gì,màu trắng,215135,2
379,màu của xe là gì,màu đen,181776,2
380,màu của con chó là gì,màu nâu,505629,2
381,màu của con chó là gì,màu nâu,507397,2
382,màu của xe buýt là gì,màu đỏ,392606,2
383,màu của xe buýt là gì,màu vàng,290849,2
384,màu của đồng hồ là gì,màu trắng,157176,2
385,màu của chiếc tàu là gì,màu đỏ,80283,2
386,màu của các loại thảo mộc là gì,màu xanh lá,307299,2
387,màu của tòa án là gì,màu xanh lá,42418,2
388,màu của chiếc tàu là gì,màu đỏ,68063,2
389,màu của áo là gì,màu xám,283618,2
390,màu của bảng là gì,màu xanh lá,507067,2
391,màu sắc trang phục của huấn luyện viên là gì,màu nâu,53037,2
392,màu của đường dẫn là gì,màu xám,92868,2
393,màu của dĩa nhựa là gì,màu cam,505028,2
394,màu của con ngựa là gì,màu nâu,250352,2
395,màu của dấu hiệu là gì,màu đỏ,203920,2
396,màu sắc của bông hoa là gì,màu tía,449504,2
397,màu của chiếc tàu là gì,màu vàng,102923,2
398,màu của máy tính xách tay là gì,màu đen,431715,2
399,màu của cốc là gì,màu xanh dương,562205,2
400,màu sắc của vành là gì,màu cam,537246,2
401,màu của cửa là gì,màu xanh dương,236936,2
402,màu của bồn tắm là gì,màu trắng,332740,2
403,màu của áo khoác là gì,màu đen,574419,2
404,màu của cái tủ là gì,màu xanh dương,30449,2
405,màu của dĩa nhựa là gì,màu xanh lá,489762,2
406,màu của ánh sáng là gì,màu vàng,398301,2
407,màu của áo là gì,màu đỏ,533222,2
408,màu của chiếc xe là gì,màu vàng,520049,2
409,màu sắc của khán đài là gì,màu xám,54706,2
410,màu sắc của gót chân là gì,màu đỏ,303047,2
411,màu của chiếc thuyền là gì,màu vàng,560173,2
412,màu của bầu trời là gì,màu xanh dương,243895,2
413,màu của ghế là gì,màu xanh dương,132170,2
414,màu sắc của đĩa là gì,màu đỏ,331551,2
415,màu của áo là gì,màu xám,89369,2
416,màu của động vật là gì,màu đen,105134,2
417,màu của bầu trời là gì,màu xám,5500,2
418,màu của chiếc bình là gì,màu tía,520674,2
419,màu của cưỡi là gì,màu xanh lá,285042,2
420,màu của xe là gì,màu trắng,514676,2
421,màu của gấu là gì,màu nâu,261202,2
422,màu của chuối là gì,màu xanh lá,176758,2
423,màu của cà vạt là gì,màu đen,378846,2
424,màu của dấu hiệu là gì,màu đỏ,486630,2
425,màu sắc của sự phân tán là gì,màu cam,447099,2
426,màu của con chó là gì,màu nâu,482392,2
427,màu của áo là gì,màu nâu,450940,2
428,màu tóc là gì,màu đỏ,454887,2
429,màu của con bò là gì,màu đen,424160,2
430,màu của máy bay là gì,màu trắng,184300,2
431,màu của lò vi sóng là gì,màu đen,541004,2
432,màu sắc của bông cải xanh là gì,màu xanh lá,104756,2
433,màu sắc của đôi bốt là gì,màu đen,403592,2
434,màu của cỏ là gì,màu đen,514204,2
435,màu của giấy là gì,màu nâu,16169,2
436,màu sắc của chiếc váy là gì,màu xanh dương,202431,2
437,màu của gin là gì,màu đỏ,432909,2
438,màu của bộ đồ là gì,màu tía,63703,2
439,màu của sợi dây là gì,màu cam,100647,2
440,màu của chiếc thẻ là gì,màu vàng,139618,2
441,màu của xe là gì,màu vàng,74179,2
442,màu của lá là gì,màu xanh lá,72592,2
443,màu của con mèo là gì,màu nâu,22415,2
444,màu của ghế là gì,màu đen,46927,2
445,màu của con mèo là gì,màu xám,72605,2
446,màu của ánh sáng là gì,màu đỏ,81841,2
447,màu sắc của đồ chơi là gì,màu vàng,30149,2
448,màu sắc của đồ uống là gì,màu xanh lá,313015,2
449,màu của bình hoa là gì,màu vàng,354955,2
450,màu của nước sốt là gì,màu đỏ,23803,2
451,màu của dĩa nhựa là gì,màu cam,573529,2
452,màu của xe buýt là gì,màu đỏ,145761,2
453,màu của xe buýt là gì,màu đen,560997,2
454,màu của nước ép là gì,màu cam,299466,2
455,màu của gấu là gì,màu nâu,399984,2
456,màu của con chó là gì,màu trắng,171026,2
457,màu của dấu là gì,màu xanh dương,152038,2
458,màu của lá là gì,màu xanh lá,365703,2
459,màu của áo là gì,màu xanh dương,51270,2
460,màu của lá là gì,màu xanh lá,322,2
461,màu của dấu hiệu là gì,màu xanh dương,211439,2
462,màu của chiếc bình là gì,màu trắng,220518,2
463,màu mắt là gì,màu vàng,138604,2
464,màu của chiếc đĩa là gì,màu trắng,292152,2
465,màu sắc của ca nô là gì,màu cam,273602,2
466,màu của diều là gì,màu vàng,311589,2
467,màu của gạch là gì,màu xám,227935,2
468,màu của con ngựa là gì,màu đen,61506,2
469,màu của vòi nước là gì,màu đỏ,416936,2
470,màu của cánh đồng là gì,màu xanh lá,531658,2
471,màu của con mèo là gì,màu đen,326313,2
472,màu của tủ lạnh là gì,màu trắng,433224,2
473,màu của dĩa nhựa là gì,màu tía,550875,2
474,màu của bông hoa là gì,màu trắng,463969,2
475,màu của cỏ là gì,màu xanh lá,239728,2
476,màu sắc của xe cứu hỏa là gì,màu đỏ,542541,2
477,màu của ghế là gì,màu xanh lá,11222,2
478,màu của xe máy là gì,màu xanh lá,219254,2
479,màu của xe máy là gì,màu đỏ,449889,2
480,màu của đoạn giới thiệu là gì,màu đỏ,293966,2
481,màu của ghế là gì,màu trắng,120399,2
482,màu của sàn là gì,màu xám,372789,2
483,màu của nền là gì,màu đen,147782,2
484,màu của quần short là gì,màu đen,545088,2
485,màu của chiếc giường là gì,màu vàng,468867,2
486,màu sắc của bông hoa là gì,màu tía,530645,2
487,màu sắc của các phân khúc là gì,màu cam,85902,2
488,màu của con chó là gì,màu nâu,555493,2
489,màu của áo là gì,màu xanh dương,276870,2
490,màu của quả táo là gì,màu xanh lá,279071,2
491,màu của thời gian là gì,màu vàng,479944,2
492,màu của chiếc tàu là gì,màu xám,465814,2
493,màu sắc của bông hoa là gì,màu tía,113845,2
494,màu của xe tải là gì,màu cam,417607,2
495,màu của lửa là gì,màu vàng,390288,2
496,màu của quần là gì,màu đen,440347,2
497,màu của tủ lạnh là gì,màu đen,87126,2
498,màu của xe là gì,màu xanh dương,150641,2
499,màu của bầu trời là gì,màu xám,213536,2
500,màu của ánh sáng là gì,màu đỏ,340109,2
501,màu của áo khoác là gì,màu cam,232231,2
502,màu của vật đang ngủ là gì,màu cam,240289,2
503,màu của bầu trờilà gì,màu đỏ,458649,2
504,màu của áo khoác là gì,màu vàng,301602,2
505,màu của cà vạt là gì,màu đỏ,50817,2
506,màu của phòng tắm là gì,màu xanh dương,532509,2
507,màu của cao là gì,màu xanh dương,439911,2
508,màu của dĩa nhựa là gì,màu cam,309168,2
509,màu của ngôi nhà là gì,màu trắng,267708,2
510,màu của lá là gì,màu xanh lá,557101,2
511,màu của xe buýt là gì,màu tía,159567,2
512,màu của bồn rửa là gì,màu trắng,195712,2
513,màu của gấu là gì,màu đen,29600,2
514,màu của xe tải là gì,màu xanh lá,402373,2
515,màu của động cơ là gì,màu cam,455132,2
516,màu của áo là gì,màu đen,77003,2
517,màu của thuyền chèo là gì,màu nâu,540943,2
518,màu của tấm thảm là gì,màu đỏ,273561,2
519,màu của con ngựa là gì,màu nâu,529056,2
520,màu của nhà vệ sinh là gì,màu xanh lá,385844,2
521,màu của tủ lạnh là gì,màu trắng,212181,2
522,màu của dĩa nhựa là gì,màu xanh dương,290412,2
523,màu của vali là gì,màu đen,491845,2
524,màu của các thẻ là gì,màu vàng,45459,2
525,màu của cây cột là gì,màu xanh lá,493841,2
526,màu của băng là gì,màu vàng,127454,2
527,màu sắc của trường hợp là gì,màu xanh lá,476589,2
528,màu của con mèo là gì,màu nâu,572627,2
529,màu của con mèo là gì,màu đen,140360,2
530,màu của con mèo là gì,màu xám,94444,2
531,màu của con bò là gì,màu đen,563578,2
532,màu của chiếc chiếu là gì,màu đỏ,344566,2
533,màu của chân là gì,màu đen,333280,2
534,màu của ngựa là gì,màu đen,472662,2
535,màu của chiếc đĩa là gì,màu nâu,158831,2
536,màu của xe buýt là gì,màu vàng,461510,2
537,màu của cái bát là gì,màu xanh dương,119870,2
538,màu sắc của thiên nga là gì,màu trắng,482967,2
539,màu của ánh sáng là gì,màu tía,430710,2
540,màu sắc của bikini là gì,màu vàng,12678,2
541,màu của áo khoác là gì,màu vàng,376972,2
542,màu của gấu là gì,màu nâu,228004,2
543,màu của chiếc giường là gì,màu tía,230109,2
544,màu của dấu hiệu là gì,màu đỏ,427120,2
545,màu của chiếc nắp là gì,màu xanh dương,147975,2
546,màu của chiếc ô là gì,màu trắng,252952,2
547,màu của gấu là gì,màu đen,105134,2
548,màu của cà vạt là gì,màu đỏ,430521,2
549,màu của thức ăn là gì,màu trắng,364549,2
550,màu của máy bay là gì,màu trắng,360262,2
551,màu của chiếc giường là gì,màu cam,41233,2
552,màu của chiếc đĩa là gì,màu cam,123764,2
